#       time                file                area                mass    irreducible mass                spin      dimless spin-x      dimless spin-y      dimless spin-z  dimless spin-z-alt     linear mom. |P|      linear mom. Px      linear mom. Py      linear mom. Pz            origin_x            origin_y            origin_z            center_x            center_y            center_z
  90.0000000    4.5000000000e+01    1.2539897872e+01    4.9947306479e-01    4.9947306385e-01    6.1108040700e-05   -3.0117964580e-05   -7.2897977166e-06   -1.1835569395e-04    0.0000000000e+00    7.9507612347e-02    2.0218632697e-02   -7.6893870451e-02   -2.0297310458e-08    2.5016235394e+02    2.5472141887e+02    0.0000000000e+00    2.5015746851e+02    2.5474095409e+02    2.4100166307e-13
  92.0000000    4.6000000000e+01    1.2540107640e+01    4.9947724218e-01    4.9947724145e-01    5.3861520424e-05   -2.9774211322e-05   -8.5827176174e-06   -1.0328789761e-04    0.0000000000e+00    7.9537985593e-02    2.3531628402e-02   -7.5977323044e-02   -2.0445492016e-08    2.5022195845e+02    2.5447436281e+02    0.0000000000e+00    2.5021628824e+02    2.5449369018e+02    9.7005736777e-14
  94.0000000    4.7000000000e+01    1.2540353195e+01    4.9948213226e-01    4.9948213169e-01    4.7543469314e-05   -2.9434518832e-05   -9.8625674833e-06   -8.9981237811e-05    0.0000000000e+00    7.9622416014e-02    2.6748766573e-02   -7.4994883951e-02   -2.0713914517e-08    2.5029199548e+02    2.5422983921e+02    0.0000000000e+00    2.5028554491e+02    2.5424895611e+02    8.2156503822e-14
  96.0000000    4.8000000000e+01    1.2540712578e+01    4.9948928915e-01    4.9948928876e-01    3.9254958331e-05   -2.8991190215e-05   -1.1062272720e-05   -7.2204951613e-05    0.0000000000e+00    7.9636754083e-02    2.9839305144e-02   -7.3835143864e-02   -2.0368534579e-08    2.5037216273e+02    2.5398834431e+02    0.0000000000e+00    2.5036498742e+02    2.5400719986e+02    1.0388911953e-13
  98.0000000    4.9000000000e+01    1.2540956320e+01    4.9949414308e-01    4.9949414279e-01    3.3988934703e-05   -2.8448888484e-05   -1.2279529000e-05   -6.0582415683e-05    0.0000000000e+00    7.9548963120e-02    3.2926759488e-02   -7.2414543035e-02   -1.9129437565e-08    2.5046236270e+02    2.5375056903e+02    0.0000000000e+00    2.5045444865e+02    2.5376907033e+02    2.2692958623e-13
 100.0000000    5.0000000000e+01    1.2541200568e+01    4.9949900707e-01    4.9949900684e-01    3.0097355376e-05   -2.7888701723e-05   -1.3551636273e-05   -5.1664773285e-05    0.0000000000e+00    7.9529345220e-02    3.6074734923e-02   -7.0876866828e-02   -1.8574987726e-08    2.5056265372e+02    2.5351698964e+02    0.0000000000e+00    2.5055397879e+02    2.5353509964e+02    1.5679124665e-13
 102.0000000    5.1000000000e+01    1.2541625059e+01    4.9950746039e-01    4.9950746023e-01    2.4966609559e-05   -2.7341028714e-05   -1.4774517850e-05   -3.9146234285e-05    0.0000000000e+00    7.9645767711e-02    3.9108513313e-02   -6.9382796864e-02   -1.8974402128e-08    2.5067284549e+02    2.5328776063e+02    0.0000000000e+00    2.5066344201e+02    2.5330549456e+02    1.8421375536e-13
 104.0000000    5.2000000000e+01    1.2541944659e+01    4.9951382481e-01    4.9951382470e-01    2.1363136817e-05   -2.6752872780e-05   -1.5880130877e-05   -2.9346124155e-05    0.0000000000e+00    7.9787541739e-02    4.2005936333e-02   -6.7834748688e-02   -1.9898034393e-08    2.5079262698e+02    2.5306307608e+02    0.0000000000e+00    2.5078253746e+02    2.5308041888e+02    3.5646485763e-13
 106.0000000    5.3000000000e+01    1.2542233828e+01    4.9951958320e-01    4.9951958309e-01    2.0917067505e-05   -2.6030764675e-05   -1.7044905320e-05   -2.8023798785e-05    0.0000000000e+00    7.9808740165e-02    4.4877092547e-02   -6.5996072392e-02   -1.9856736770e-08    2.5092191090e+02    2.5284354494e+02    0.0000000000e+00    2.5091111444e+02    2.5286040334e+02    3.3539837574e-13
 108.0000000    5.4000000000e+01    1.2542420679e+01    4.9952330403e-01    4.9952330393e-01    2.0200365227e-05   -2.5210460715e-05   -1.8147198456e-05   -2.5893003405e-05    0.0000000000e+00    7.9654425403e-02    4.7624584288e-02   -6.3849247902e-02   -1.7662154773e-08    2.5106038093e+02    2.5262998092e+02    0.0000000000e+00    2.5104893612e+02    2.5264627024e+02    5.0504045390e-13
